game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_06_TEN_LV,2025,REG,6,2025-10-12,Sunday,16:05,TEN,LV,10.0,20.0,10.0,0.0,Allegiant Stadium
2025_06_CIN_GB,2025,REG,6,2025-10-12,Sunday,16:25,CIN,GB,18.0,27.0,9.0,0.0,Lambeau Field
2025_06_SF_TB,2025,REG,6,2025-10-12,Sunday,16:25,SF,TB,19.0,30.0,11.0,0.0,Raymond James Stadium
2025_06_DET_KC,2025,REG,6,2025-10-12,Sunday,20:20,DET,KC,17.0,30.0,13.0,0.0,GEHA Field at Arrowhead Stadium
2025_06_BUF_ATL,2025,REG,6,2025-10-13,Monday,19:15,BUF,ATL,14.0,24.0,10.0,0.0,Mercedes-Benz Stadium
2025_06_CHI_WAS,2025,REG,6,2025-10-13,Monday,20:15,CHI,WAS,25.0,24.0,-1.0,0.0,FedExField
2025_07_PIT_CIN,2025,REG,7,2025-10-16,Thursday,20:15,PIT,CIN,31.0,33.0,2.0,0.0,Paycor Stadium
2025_07_LA_JAX,2025,REG,7,2025-10-19,Sunday,09:30,LA,JAX,35.0,7.0,-28.0,0.0,TIAA Bank Stadium
2025_07_NO_CHI,2025,REG,7,2025-10-19,Sunday,13:00,NO,CHI,14.0,26.0,12.0,0.0,Soldier Field
2025_07_MIA_CLE,2025,REG,7,2025-10-19,Sunday,13:00,MIA,CLE,6.0,31.0,25.0,0.0,FirstEnergy Stadium
2025_07_LV_KC,2025,REG,7,2025-10-19,Sunday,13:00,LV,KC,0.0,31.0,31.0,0.0,GEHA Field at Arrowhead Stadium
2025_07_PHI_MIN,2025,REG,7,2025-10-19,Sunday,13:00,PHI,MIN,28.0,22.0,-6.0,0.0,U.S. Bank Stadium
2025_07_CAR_NYJ,2025,REG,7,2025-10-19,Sunday,13:00,CAR,NYJ,13.0,6.0,-7.0,0.0,MetLife Stadium
2025_07_NE_TEN,2025,REG,7,2025-10-19,Sunday,13:00,NE,TEN,31.0,13.0,-18.0,0.0,Nissan Stadium
2025_07_NYG_DEN,2025,REG,7,2025-10-19,Sunday,16:05,NYG,DEN,32.0,33.0,1.0,0.0,Empower Field at Mile High
2025_07_IND_LAC,2025,REG,7,2025-10-19,Sunday,16:05,IND,LAC,38.0,24.0,-14.0,0.0,SoFi Stadium
2025_07_GB_ARI,2025,REG,7,2025-10-19,Sunday,16:25,GB,ARI,27.0,23.0,-4.0,0.0,State Farm Stadium
2025_07_WAS_DAL,2025,REG,7,2025-10-19,Sunday,16:25,WAS,DAL,22.0,44.0,22.0,0.0,AT&T Stadium
2025_07_ATL_SF,2025,REG,7,2025-10-19,Sunday,20:20,ATL,SF,10.0,20.0,10.0,0.0,Levi's Stadium
2025_07_TB_DET,2025,REG,7,2025-10-20,Monday,19:00,TB,DET,9.0,24.0,15.0,0.0,Ford Field
2025_07_HOU_SEA,2025,REG,7,2025-10-20,Monday,22:00,HOU,SEA,19.0,27.0,8.0,0.0,Lumen Field
2025_08_MIN_LAC,2025,REG,8,2025-10-23,Thursday,20:15,MIN,LAC,10.0,37.0,27.0,0.0,SoFi Stadium
2025_08_MIA_ATL,2025,REG,8,2025-10-26,Sunday,13:00,MIA,ATL,34.0,10.0,-24.0,0.0,Mercedes-Benz Stadium
2025_08_CHI_BAL,2025,REG,8,2025-10-26,Sunday,13:00,CHI,BAL,16.0,30.0,14.0,0.0,M&T Bank Stadium
2025_08_BUF_CAR,2025,REG,8,2025-10-26,Sunday,13:00,BUF,CAR,40.0,9.0,-31.0,0.0,Bank of America Stadium
2025_08_NYJ_CIN,2025,REG,8,2025-10-26,Sunday,13:00,NYJ,CIN,39.0,38.0,-1.0,0.0,Paycor Stadium
